lang,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
afr,0.4827586206896551,0.1771929824561403,0.1574358974358974,0.4333333333333333,0.3561643835616438,0.3909774436090225
amh,0.0738396624472573,0.0279106858054226,0.0405092592592592,0.4268292682926829,0.0510948905109489,0.0912646675358539
arq,0.3001984126984127,0.1874250413564929,0.226311749716005,0.5064935064935064,0.2294117647058823,0.3157894736842105
ary,0.3616161616161615,0.1418337850045167,0.1961804286932164,0.5735294117647058,0.1741071428571428,0.2671232876712329
chn,0.2660660660660661,0.2638562475518997,0.2623581599392202,0.7588652482269503,0.5219512195121951,0.6184971098265896
deu,0.4215070643642072,0.3,0.3485542480279322,0.6357615894039735,0.3918367346938775,0.4848484848484848
eng,0.2761904761904762,0.2194572452636968,0.1896825396825396,0.5855855855855856,0.3693181818181818,0.4529616724738676
esp,0.7398231849451361,0.3810842305169471,0.4098532618175475,0.6071428571428571,0.3984375,0.4811320754716981
hau,0.7236934563021519,0.0972878927819566,0.1511165619432537,0.5428571428571428,0.0964467005076142,0.1637931034482758
hin,0.261111111111111,0.2049512987012987,0.2282263630089717,0.5151515151515151,0.2207792207792207,0.3090909090909091
ibo,0.4682993197278911,0.1031496459229802,0.1542289096882167,0.5869565217391305,0.1370558375634517,0.2222222222222222
kin,0.1388888888888889,0.0189497716894977,0.0327842888818498,0.4705882352941176,0.0259740259740259,0.0492307692307692
mar,0.5499999999999999,0.3016366674261411,0.3618559218559218,0.7837837837837838,0.3295454545454545,0.464
orm,0.3405048766494549,0.1074745830588174,0.1241239244118617,0.6065573770491803,0.2288659793814433,0.3323353293413174
pcm,0.455007832516893,0.1643699730878551,0.1649536160678474,0.5844155844155844,0.3150525087514585,0.4094010614101592
ptbr,0.3620202798100372,0.2073803344103677,0.2416594106151196,0.5794392523364486,0.3406593406593406,0.4290657439446367
ptmz,0.5,0.0622895622895622,0.1062144230118886,0.5714285714285714,0.0575539568345323,0.1045751633986928
ron,0.5846316881981809,0.4185962494077451,0.4269329841320866,0.6513157894736842,0.4604651162790698,0.5395095367847411
rus,0.6944373703074892,0.4094995881604141,0.4942635890809569,0.7692307692307693,0.4145077720207253,0.5387205387205387
som,0.2450980392156863,0.0289440590645409,0.0440685045948203,0.4857142857142857,0.0445026178010471,0.0815347721822542
sun,0.4450819672131147,0.1980790217136329,0.2035307781649245,0.7783505154639175,0.5335689045936396,0.6331236897274634
swa,0.1452020202020202,0.0205730342716644,0.0359477124183006,0.3448275862068966,0.0305810397553516,0.0561797752808988
swe,0.3343962884660559,0.3369259712588966,0.3343531743985515,0.7142857142857143,0.583756345177665,0.6424581005586593
tat,0.6567956349206349,0.2407231657231656,0.2701362281822052,0.6612903225806451,0.244047619047619,0.3565217391304348
tir,0.0833333333333333,0.0275229357798165,0.0413793103448275,0.4864864864864865,0.0641711229946524,0.1133858267716535
ukr,0.4784313725490196,0.2135184625840066,0.260375312752428,0.5245901639344263,0.2424242424242424,0.3316062176165803
vmw,0.0,0.0,0.0,0.0,0.0,0.0
yor,0.0,0.0,0.0,0.0,0.0,0.0
