lang,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
afr,0.0914285714285714,0.1,0.0955223880597015,0.4571428571428571,0.2191780821917808,0.2962962962962963
amh,0.0745614035087719,0.0135566188197767,0.0229419703103913,0.4047619047619047,0.0248175182481751,0.046767537826685
arq,0.4767195767195766,0.2929701347040057,0.2961305411082516,0.4957983193277311,0.3470588235294117,0.4083044982698962
ary,0.2877133872416891,0.2165472964253452,0.2384230509179799,0.4885496183206106,0.2857142857142857,0.3605633802816901
chn,0.4501408090117767,0.3436203619627533,0.3609092846624815,0.7659574468085106,0.526829268292683,0.6242774566473989
deu,0.4422272920203735,0.3113957194899817,0.3580243449790163,0.6335403726708074,0.4163265306122449,0.5024630541871922
eng,0.6897556613006648,0.4020673323092678,0.4440714373424029,0.6170212765957447,0.4943181818181818,0.5488958990536278
esp,0.7060827086288016,0.5014136104308464,0.5270610784360412,0.6093023255813953,0.51171875,0.5562632696390658
hau,0.4722222222222222,0.169035321292729,0.2231545861441995,0.5882352941176471,0.2030456852791878,0.3018867924528302
hin,0.6008454106280193,0.461635260164672,0.4877874265746119,0.5625,0.4675324675324675,0.5106382978723404
ibo,0.367506767016571,0.12598047692467,0.1764157654332873,0.4923076923076923,0.1624365482233502,0.2442748091603053
kin,0.2227011494252873,0.0343864468864468,0.0561200298042403,0.6060606060606061,0.0649350649350649,0.1173020527859237
mar,0.8609126984126984,0.6431299952197784,0.7128077688022175,0.8382352941176471,0.6477272727272727,0.7307692307692307
orm,0.1819548872180451,0.0341277069419145,0.0574658672253124,0.6296296296296297,0.0701030927835051,0.1261595547309833
pcm,0.4031075513633653,0.15941941495596,0.1915038008321153,0.635593220338983,0.2625437572928821,0.3715937241948802
ptbr,0.5740338164251207,0.2934839415929516,0.3388749561065945,0.625,0.412087912087912,0.4966887417218543
ptmz,0.4609156275822942,0.1794393207436685,0.2362277213138901,0.5254237288135594,0.2230215827338129,0.3131313131313131
ron,0.6644249512670565,0.5761019629252554,0.5339412764984541,0.5980861244019139,0.5813953488372093,0.589622641509434
rus,0.812534703762774,0.593616333603818,0.6484115735614772,0.7341772151898734,0.6010362694300518,0.6609686609686609
som,0.1111111111111111,0.0033670033670033,0.0065359477124183,0.3333333333333333,0.0052356020942408,0.0103092783505154
sun,0.4926825802784882,0.2160975068021544,0.2475476607333917,0.7777777777777778,0.4946996466431095,0.6047516198704104
swa,0.3055555555555555,0.0275937912924214,0.0502308694769258,0.3793103448275862,0.0336391437308868,0.0617977528089887
swe,0.4825550187869028,0.2990231135622179,0.3427680322970785,0.7941176470588235,0.5482233502538071,0.6486486486486487
tat,0.6768180140273165,0.3262043512043512,0.3546532474811164,0.5876288659793815,0.3392857142857143,0.430188679245283
tir,0.0862068965517241,0.0114678899082568,0.020242914979757,0.4545454545454545,0.0267379679144385,0.0505050505050505
ukr,0.3981481481481481,0.2465128327753865,0.2829614829614829,0.5409836065573771,0.25,0.3419689119170984
vmw,0.0,0.0,0.0,0.0,0.0,0.0
yor,0.0767195767195767,0.0695443645083932,0.0729559748427673,0.4603174603174603,0.204225352112676,0.2829268292682926
