lang,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
afr,0.4597701149425287,0.2380482456140351,0.2307692307692307,0.5076923076923077,0.4520547945205479,0.4782608695652174
amh,0.0,0.0,0.0,0.0,0.0,0.0
arq,0.5353535353535354,0.1780806894718185,0.2188188417456923,0.5230769230769231,0.2,0.2893617021276595
ary,0.4671661793372319,0.1722383849213117,0.2314804014483244,0.4166666666666667,0.2008928571428571,0.2710843373493976
chn,0.4276094276094276,0.3725274187230709,0.3856474933207606,0.7192982456140351,0.6,0.6542553191489362
deu,0.5640314596402148,0.4106557377049181,0.4551817201817201,0.656084656084656,0.5061224489795918,0.5714285714285714
eng,0.6925490196078431,0.425989503328213,0.4833845201120021,0.6453900709219859,0.5170454545454546,0.5741324921135647
esp,0.6422362209046991,0.5988245779655489,0.6082152658444681,0.6322314049586777,0.59765625,0.6144578313253012
hau,0.5347459623518068,0.3113317222501039,0.367239808362915,0.5443037974683544,0.3274111675126903,0.4088748019017432
hin,0.6171536796536797,0.583192746795688,0.5763095292507057,0.5974025974025974,0.5974025974025974,0.5974025974025974
ibo,0.5048611111111111,0.1371974970365858,0.1954540931565146,0.5573770491803278,0.1725888324873096,0.2635658914728682
kin,0.5548941798941799,0.1024250181280801,0.1648806531159472,0.589041095890411,0.1396103896103896,0.2257217847769028
mar,0.7621806298276886,0.6686874271239596,0.703166935050993,0.7662337662337663,0.6704545454545454,0.7151515151515152
orm,0.2802020202020202,0.1308105861936811,0.1592893385996834,0.5175438596491229,0.2432989690721649,0.3309957924263674
pcm,0.5000649736267281,0.3033794998376063,0.3438484434836644,0.584251968503937,0.4329054842473746,0.4973190348525469
ptbr,0.3389587362991618,0.2535648074580221,0.2841719683824947,0.6495726495726496,0.4175824175824176,0.5083612040133779
ptmz,0.5313492063492063,0.1156376208805876,0.1800859471912103,0.4444444444444444,0.1151079136690647,0.1828571428571428
ron,0.6996501402161779,0.6551594825536883,0.6565400326257641,0.7073170731707317,0.6744186046511628,0.6904761904761905
rus,0.6972963419084109,0.588383525805303,0.6346546201967889,0.7080745341614907,0.5906735751295337,0.6440677966101694
som,0.4885472851492269,0.1422727424094085,0.1726187262980349,0.4464285714285714,0.1963350785340314,0.2727272727272727
sun,0.5719540358326816,0.2762261159669598,0.3150602895493281,0.7174887892376681,0.5653710247349824,0.6324110671936759
swa,0.4541971916971916,0.0999046175325915,0.1494381007272022,0.3762376237623762,0.1162079510703364,0.1775700934579439
swe,0.4552709756232994,0.3864672875720443,0.4053975869384554,0.6666666666666666,0.649746192893401,0.6580976863753213
tat,0.5125661375661376,0.2497266622266622,0.2656391145800013,0.4731182795698925,0.2619047619047619,0.3371647509578544
tir,0.0,0.0,0.0,0.0,0.0,0.0
ukr,0.6106209150326797,0.3299384580533112,0.3987585943468296,0.6049382716049383,0.3712121212121212,0.460093896713615
vmw,0.0,0.0,0.0,0.0,0.0,0.0
yor,0.0999999999999999,0.0035971223021582,0.0069444444444444,0.6,0.0105633802816901,0.0207612456747404
